Dye,Camera,Laser,Intensity
DY520XL,640,640,607.635846504258
DY520XL,640,730,1.02325278933122
AF532,405,405,3.25064316366277
AF532,405,445,0
AF532,405,470,-0.580206817631648
AF532,405,520,-0.141317224532912
AF532,405,555,-0.194789507273171
AF532,405,640,-0.234396492154673
AF532,405,730,-0.2524585506481
AF532,470,405,21.927634691138
AF532,470,445,25.7091644770142
AF532,470,470,1081.01191938998
AF532,470,520,125.54997504456
AF532,470,555,730.766652164345
AF532,470,640,-0.730384080455977
AF532,470,730,-0.576576197706927
AF532,555,405,60.4563841244691
AF532,555,445,1258.92975112784
AF532,555,470,5227.91052131335
AF532,555,520,32454.1278887128
AF532,555,555,6091.53212620761
AF532,555,640,0.388077991241388
AF532,555,730,-0.616450716313452
AF532,640,405,13.8242463634163
AF532,640,445,166.665314341674
AF532,640,470,303.135520741181
AF532,640,520,2744.34931528796
AF532,640,555,335.738298364913
AF532,640,640,28.7420016064787
AF532,640,730,0.829631214101795
AF594,405,405,4.60006051803437
AF594,405,445,0
AF594,405,470,-0.425411236548499
AF594,405,520,-0.460130873000153
AF594,405,555,-0.529887832574104
AF594,405,640,-0.740635769459303
AF594,405,730,-0.510955788825072
AF594,470,405,7.16199192359323
AF594,470,445,7.17988481767566
AF594,470,470,-25.8907847318501
AF594,470,520,192.962506238859
AF594,470,555,1.94468321559825
AF594,470,640,-0.376724081776359
AF594,470,730,-0.00192262494222462
AF594,555,405,430.5575694637
AF594,555,445,94.9380743821659
AF594,555,470,132.1232969785
AF594,555,520,2116.67313784908
AF594,555,555,12247.559369006
AF594,555,640,587.618235998327
AF594,555,730,-0.587077705156133
AF594,640,405,184.483694945094
AF594,640,445,123.345874804692
AF594,640,470,109.469054378205
AF594,640,520,1156.7959416166
AF594,640,555,4730.78960931758
AF594,640,640,330.29539536982
AF594,640,730,0.915542857771626
AF647,405,405,5.89032257212648
AF647,405,445,0
AF647,405,470,-0.0812944037323007
AF647,405,520,0.390141414141425
AF647,405,555,0.238793380427367
AF647,405,640,0.418136616711777
AF647,405,730,0.081501507449218
AF647,470,405,9.00215664267952
AF647,470,445,11.6641941198477
AF647,470,470,3.95764760898743
AF647,470,520,159.242663101606
AF647,470,555,1.68627525802688
AF647,470,640,-0.500010343082238
AF647,470,730,-0.360890495367613
AF647,555,405,6.02847215070094
AF647,555,445,-31.9235140731938
AF647,555,470,-57.446465922845
AF647,555,520,11.0767671706168
AF647,555,555,51.3294512004577
AF647,555,640,112.201849519157
AF647,555,730,-0.0318267863823394
AF647,640,405,76.8478672124293
AF647,640,445,137.5610687925
AF647,640,470,218.198477828393
AF647,640,520,2138.49139242094
AF647,640,555,11617.7731279461
AF647,640,640,65187.730271825
AF647,640,730,6.97104627979138
AF750,405,405,4.49993406835236
AF750,405,445,0
AF750,405,470,-0.31149734820977
AF750,405,520,0.0665624436081913
AF750,405,555,-0.0240667238837204
AF750,405,640,-0.0325975000550187
AF750,405,730,-0.413924121388178
AF750,470,405,8.2753232983429
AF750,470,445,10.5591252173147
AF750,470,470,-5.99371431086465
AF750,470,520,109.186955436722
AF750,470,555,1.80165493717128
AF750,470,640,-0.071967540327023
AF750,470,730,-0.0132602935674839
AF750,555,405,6.27630736559493
AF750,555,445,-25.0286412710988
AF750,555,470,-38.8245338570894
AF750,555,520,60.6085907440417
AF750,555,555,181.366332255012
AF750,555,640,0.781065337470565
AF750,555,730,-0.543804339693239
AF750,640,405,76.3021966285953
AF750,640,445,170.934298078828
AF750,640,470,62.9456248982197
AF750,640,520,124.07451748421
AF750,640,555,296.013841288704
AF750,640,640,1412.56249356308
AF750,640,730,12724.0944325389
CF750,405,405,5.9463011597456
CF750,405,445,0
CF750,405,470,-0.0889260799718414
CF750,405,520,-0.0100490746242485
CF750,405,555,-0.164481591514274
CF750,405,640,-0.43531071059175
CF750,405,730,-0.321448757729812
CF750,470,405,9.10523855108821
CF750,470,445,8.32780400959487
CF750,470,470,-22.7360344622697
CF750,470,520,255.355344028518
